path,RF,CLASS_CLRS,FILL_CLASS,POLY_TYPE,ID,CLASS_ID,CLASS_NAME,layer,b2,b3,b4,b5,b6,b7,b8,b9,system:index,b1
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037767664,0.02769361,0.348378,0.13137826,0.05439411,0.85272163,0.80438644,0.5490722,4_11,0.020734679
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03611303,0.027520578,0.33356246,0.12941614,0.055041924,0.8475665,0.80462307,0.5331226,4_12,0.021760631
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036661178,0.026823582,0.35652784,0.13007392,0.053747404,0.8600575,0.8135188,0.5598637,4_13,0.021231355
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.038745284,0.029572925,0.3531964,0.13415061,0.057768,0.84547913,0.80229056,0.5499004,4_14,0.020471094
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037335727,0.028701885,0.35602596,0.1315411,0.055892035,0.85079384,0.810171,0.5549572,4_15,0.021171244
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03732136,0.027304688,0.35958567,0.13053034,0.054772288,0.85885054,0.81193906,0.5619877,4_16,0.021133495
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.039150674,0.030115897,0.3435628,0.13716106,0.059138477,0.83881396,0.7954048,0.5381502,4_17,0.020726318
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03781967,0.028879238,0.33276942,0.13485838,0.059877,0.8402912,0.7958943,0.52902687,5_0,0.02008469
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037627142,0.027952028,0.35189238,0.13350987,0.058314726,0.8528238,0.8068023,0.5522687,5_1,0.021014428
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03618676,0.026483359,0.34133822,0.12891652,0.05527403,0.8559989,0.8082948,0.54421586,5_2,0.019472364
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03689209,0.027635088,0.34408778,0.1300719,0.055898372,0.8513135,0.8063305,0.54452974,5_3,0.020776454
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037801865,0.028745221,0.33503437,0.13076709,0.057033338,0.8419635,0.79722,0.5318877,5_4,0.021881243
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03724799,0.027497062,0.34131852,0.12888011,0.055612113,0.8508899,0.8032156,0.5418091,5_5,0.021073777
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.038415603,0.028506307,0.329699,0.13005583,0.057756685,0.8408382,0.79128456,0.5264347,5_6,0.02251713
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03648099,0.02684369,0.33276024,0.12836255,0.05525553,0.85070413,0.80240023,0.5338212,5_7,0.021452557
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03586418,0.026465014,0.3411298,0.13017991,0.054623183,0.85600984,0.8097361,0.54402953,5_8,0.021946134
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03759264,0.028590903,0.35611176,0.13538596,0.057658747,0.85136104,0.8090311,0.5553067,5_9,0.022612695
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.039780896,0.029874003,0.36496451,0.13930467,0.06111089,0.84867734,0.8034276,0.5617055,5_10,0.024198046
